‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013/12/1,158,24~468,÷–∂»Œ€»æ,125,140,48,1.373,71,49
2014/1/1,103,30~238,«·∂»Œ€»æ,77,90,28,0.997,54,58
2014/2/1,74,27~240,¡º,52,59,17,0.796,36,73
2014/3/1,82,39~202,¡º,57,84,19,0.787,51,100
2014/4/1,77,50~187,¡º,53,67,15,0.727,47,108
2014/5/1,96,53~193,¡º,63,99,17,0.777,42,142
2014/6/1,72,37~182,¡º,44,58,12,0.72,35,118
2014/7/1,74,32~167,¡º,45,63,12,0.765,31,112
2014/8/1,67,30~150,¡º,38,52,13,0.768,34,112
2014/9/1,69,32~138,¡º,35,52,13,0.74,32,117
2014/10/1,77,52~137,¡º,40,68,16,0.781,42,119
2014/11/1,74,38~182,¡º,52,71,18,0.843,52,84
2014/12/1,99,39~190,¡º,72,113,36,1.09,68,47
2015/1/1,111,28~256,«·∂»Œ€»æ,83,108,29,1.09,63,56
2015/2/1,90,34~222,¡º,64,85,20,0.946,46,81
2015/3/1,81,37~143,¡º,54,66,15,0.845,48,102
2015/4/1,88,44~166,¡º,56,81,16,0.79,53,122
2015/5/1,77,51~117,¡º,44,63,12,0.697,39,126
2015/6/1,80,43~188,¡º,43,57,11,0.697,35,129
2015/7/1,84,31~171,¡º,39,57,11,0.658,31,134
2015/8/1,86,28~181,¡º,40,58,13,0.735,28,135
2015/9/1,79,35~159,¡º,34,49,13,0.72,32,132
2015/10/1,82,47~133,¡º,47,73,17,0.816,49,127
2015/11/1,87,35~179,¡º,58,74,17,1.09,58,69
2015/12/1,117,53~266,«·∂»Œ€»æ,82,104,25,1.197,67,52
2016/1/1,102,40~213,«·∂»Œ€»æ,70,91,24,1.045,57,69
2016/2/1,80,42~178,¡º,54,78,19,0.855,43,97
2016/3/1,80,45~134,¡º,52,76,17,0.684,49,107
2016/4/1,90,53~159,¡º,56,81,14,0.737,50,126
2016/5/1,93,51~163,¡º,51,77,12,0.742,41,135
2016/6/1,79,43~139,¡º,40,54,10,0.703,36,122
2016/7/1,95,24~169,¡º,38,59,10,0.752,31,143
2016/8/1,59,26~135,¡º,19,36,11,0.665,23,104
2016/9/1,68,23~163,¡º,32,45,12,0.723,34,112
2016/10/1,51,29~72,¡º,22,37,12,0.632,33,87
2016/11/1,78,37~144,¡º,44,62,16,0.867,58,69
2016/12/1,94,38~185,¡º,58,77,19,1.058,65,64
2017/1/1,73,34~130,¡º,45,55,17,0.945,47,74
2017/2/1,77,38~154,¡º,50,57,14,0.868,49,93
2017/3/1,71,47~102,¡º,44,58,12,0.768,50,108
2017/4/1,91,53~139,¡º,45,70,12,0.83,51,133
2017/5/1,88,42~161,¡º,28,49,11,0.674,37,136
2017/6/1,83,46~160,¡º,38,42,9,0.7,35,130
2017/7/1,117,33~205,«·∂»Œ€»æ,33,55,10,0.706,30,177
2017/8/1,97,25~193,¡º,31,47,8,0.781,32,151
2017/9/1,74,44~168,¡º,26,42,9,0.77,36,118
2017/10/1,58,36~88,¡º,24,42,9,0.732,34,101
2017/11/1,78,38~130,¡º,41,68,13,0.863,59,80
2017/12/1,97,48~225,¡º,54,75,15,1.061,69,39
2018/1/1,92,35~239,¡º,58,64,14,0.977,58,63
2018/2/1,73,39~162,¡º,44,61,14,0.779,47,90
2018/3/1,69,42~120,¡º,40,50,12,0.642,45,102
2018/4/1,86,0~181,¡º,40,75,13,0.653,47,132
2018/5/1,89,42~147,¡º,44,58,11,0.658,41,137
2018/6/1,90,42~202,¡º,35,42,10,0.607,32,146
2018/7/1,60,22~186,¡º,22,36,8,0.532,24,98
2018/8/1,58,30~140,¡º,16,32,6,0.535,20,102
2018/9/1,70,26~146,¡º,24,39,7,0.677,34,110
2018/10/1,67,42~124,¡º,26,47,8,0.577,41,110
2018/11/1,72,42~163,¡º,40,50,7,0.72,53,82
2018/12/1,65,36~133,¡º,36,53,8,0.703,50,56
2019/1/1,81,34~135,¡º,49,61,9,0.826,57,60
2019/2/1,65,36~160,¡º,41,51,6,0.721,36,76
2019/3/1,80,46~127,¡º,51,65,7,0.758,52,100
2019/4/1,71,43~123,¡º,40,51,6,0.697,45,106
2019/5/1,86,36~202,¡º,33,53,7,0.606,39,134
2019/6/1,80,44~177,¡º,30,34,6,0.532,27,133
