排名,学校名称,省市,总分,指标得分
1,清华大学,北京市,95.9,100
2,北京大学,北京市,82.6,98.9
3,浙江大学,浙江省,80,88.8
4,上海交通大学,上海市,78.7,90.6
5,复旦大学,上海市,70.9,90.4
6,南京大学,江苏省,66.1,90.7
7,中国科学技术大学,安徽省,65.5,90.1
8,哈尔滨工业大学,黑龙江省,63.5,80.9
9,华中科技大学,湖北省,62.9,83.5
10,中山大学,广东省,62.1,81.8
11,东南大学,江苏省,61.4,84
12,天津大学,天津市,60.8,85.8
13,同济大学,上海市,59.8,87.5
14,北京航空航天大学,北京市,59.6,88.5
15,四川大学,四川省,59.4,77.3
16,武汉大学,湖北省,59.1,84.7
17,西安交通大学,陕西省,58.9,85.2
18,南开大学,天津市,58.3,88.7
19,大连理工大学,辽宁省,56.9,79.1
20,山东大学,山东省,56.3,76.3
21,华南理工大学,广东省,56.2,76.1
22,吉林大学,吉林省,55.7,77.4
23,厦门大学,福建省,55.4,83.4
24,北京师范大学,北京市,54.6,86.1
25,北京理工大学,北京市,53.9,83
26,苏州大学,江苏省,53.1,71.5
27,中南大学,湖南省,52.5,75.9
28,北京科技大学,北京市,52.2,76.5
29,南京航空航天大学,江苏省,52,76.9
30,华东理工大学,上海市,51.9,73.8
31,湖南大学,湖南省,51.4,76.3
31,中国人民大学,北京市,51.4,92.2
33,重庆大学,重庆市,50.9,74.4
34,华东师范大学,上海市,50.6,78
35,中国地质大学（武汉）,湖北省,50.4,67.4
36,西北工业大学,陕西省,50.3,78.7
36,电子科技大学,四川省,50.3,74.9
38,中国农业大学,北京市,48.9,71.8
38,中国石油大学（北京）,北京市,48.9,72.1
40,北京化工大学,北京市,48.6,69.4
40,北京交通大学,北京市,48.6,77.7
42,南京理工大学,江苏省,48.5,74.3
43,华北电力大学（北京）,北京市,48.2,75.2
44,北京邮电大学,北京市,48.1,79.7
45,西安电子科技大学,陕西省,47.6,74.2
46,武汉理工大学,湖北省,47.4,71
46,上海大学,上海市,47.4,64
48,华中师范大学,湖北省,47.3,69.9
48,东北大学,辽宁省,47.3,71.4
